Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,iso_currency_code,currency,French short name,region_code,Alpha-3 code,Numeric
Afghanistan,115.21401960784314,115.21401960784314,115.21401960784314,115.21401960784314,115.21401960784314,115.21401960784314,115.21401960784314,115.21401960784314,115.21401960784314,115.21401960784314,115.21401960784314,115.21401960784314,115.21401960784314,115.21401960784314,115.21401960784314,115.21401960784314,115.21401960784314,115.21401960784314,115.21401960784314,115.21401960784314,115.21401960784314,115.21401960784314,115.21401960784314,115.21401960784314,115.21401960784314,115.21401960784314,115.21401960784314,115.21401960784314,115.21401960784314,115.21401960784314,115.21401960784314,115.21401960784314,115.21401960784314,115.21401960784314,64.88,71.59166666666667,76.45,83.075,105.01666666666668,97.88333333333333,100.0,111.80833333333334,118.99166666666667,127.8,133.75833333333333,132.86666666666667,138.71666666666667,145.60833333333332,146.53333333333333,149.89166666666668,153.76666666666665,115.21401960784314,115.21401960784314,115.21401960784314,afn,Afghani,Afghanistan (l'),AF,AFG,4.0
Algeria,67.9295918367347,67.9295918367347,67.9295918367347,67.9295918367347,3.216666666666667,3.4916666666666667,3.8166666666666655,4.283333333333333,67.9295918367347,5.6000000000000005,6.141666666666667,7.033333333333334,7.5,7.941666666666666,8.583333333333334,9.491666666666667,10.675,11.458333333333334,12.133333333333333,13.258333333333333,15.466666666666669,19.475,25.65833333333333,30.925,39.9,51.78333333333333,61.458333333333336,64.98333333333333,68.19166666666666,70.00833333333334,70.22500000000001,73.19166666666666,74.23333333333333,76.14999999999999,78.875,81.825,83.70833333333333,86.78333333333335,91.00833333333333,96.225,100.00833333333333,104.51666666666668,113.825,117.51666666666668,120.95,126.75,134.84166666666667,142.375,148.46666666666667,151.35,155.00833333333335,166.225,181.61666666666667,190.4,dzd,Dinar,Algérie (l'),DZ,DZA,12.0
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,11.858333333333334,32.2,40.25,44.51666666666667,46.36666666666667,47.93333333333334,48.01666666666667,48.275,48.71666666666667,48.15,47.66666666666666,47.18333333333334,59.375,67.375,70.36666666666667,77.125,85.52499999999999,93.075,101.09166666666664,107.42333333333332,118.67,130.25,143.32500000000002,158.54166666666666,101.47983974358976,101.47983974358976,100.0,112.89166666666668,151.58333333333334,232.75833333333333,330.55,490.56666666666666,845.8583333333332,1288.9666666666667,ars,Peso,Argentine (l'),AR,ARG,32.0
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aud,Dollar,Australie (l'),AU,AUS,36.0
Bahrain,87.94437037037038,87.94437037037038,87.94437037037038,87.94437037037038,87.94437037037038,38.56666666666667,45.15833333333333,53.16666666666666,61.55833333333334,62.925,65.35833333333333,72.76666666666667,79.24166666666666,81.59166666666667,81.85000000000001,79.69166666666666,77.86666666666666,76.51666666666667,76.74166666666666,77.88333333333334,78.59166666666667,79.20833333333333,79.05833333333334,81.05833333333334,81.74166666666666,83.95,83.58333333333333,85.575,85.41666666666667,84.18333333333334,83.59166666666667,83.33333333333333,87.94437037037038,87.94437037037038,87.94437037037038,87.8,87.94437037037038,93.58,95.58333333333331,98.24166666666667,99.99166666666667,99.60833333333332,102.34166666666664,105.71666666666664,108.51666666666668,110.53333333333336,113.61666666666667,115.18333333333334,117.60833333333332,118.775,116.01666666666668,115.31666666666666,119.49166666666667,119.4,bhd,Dinar,Bahreïn,BH,BHR,48.0
Brazil,49.862962962962975,49.862962962962975,49.862962962962975,49.862962962962975,49.862962962962975,49.862962962962975,49.862962962962975,49.862962962962975,49.862962962962975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.725,15.966666666666669,26.48333333333333,30.65833333333333,32.766666666666666,33.81666666666667,35.475,37.975,40.55,43.98333333333333,50.458333333333336,53.78333333333333,57.48333333333333,59.89166666666667,62.06666666666666,65.575,68.79166666666667,72.26666666666667,77.05833333333334,81.20833333333333,86.24166666666667,91.71666666666664,99.99166666666667,108.75,112.5,116.60833333333332,120.95,124.85,135.21666666666667,147.76666666666668,152.23333333333335,brl,Real,Brésil (le),BR,BRA,76.0
Canada,16.058333333333334,16.516666666666666,17.308333333333334,18.625,20.675,22.875,24.59166666666667,26.566666666666663,28.941666666666663,31.6,34.791666666666664,39.141666666666666,43.34166666666667,45.89166666666667,47.85833333333333,49.75,51.85,54.09166666666667,56.275,59.083333333333336,61.9,65.39166666666667,66.35833333333333,67.60833333333333,67.72500000000001,69.16666666666667,70.25833333333334,71.39999999999999,72.10833333333333,73.36666666666666,75.35833333333333,77.25833333333334,79.0,81.19166666666666,82.69166666666666,84.51666666666667,86.21666666666665,88.06666666666666,90.14166666666668,90.4,92.01666666666668,94.7,96.14166666666668,97.03333333333336,98.9,100.0,101.43333333333334,103.025,105.39166666666668,107.45,108.20833333333331,111.88333333333334,119.5,122.13333333333333,cad,Dollar,Canada (le),CA,CAN,124.0
China,86.76754385964912,86.76754385964912,86.76754385964912,86.76754385964912,86.76754385964912,86.76754385964912,86.76754385964912,86.76754385964912,86.76754385964912,86.76754385964912,86.76754385964912,86.76754385964912,86.76754385964912,86.76754385964912,86.76754385964912,86.76754385964912,26.066666666666663,27.95833333333333,33.21666666666667,39.266666666666666,40.475,41.9,44.575,51.05,63.43333333333334,74.09166666666667,80.25,82.46666666666667,81.83333333333333,80.68333333333334,80.96666666666667,81.55833333333334,80.95833333333333,81.875,85.0,86.51666666666667,87.93333333333334,92.16666666666669,97.60833333333332,96.95,100.0,105.54166666666669,108.28333333333336,111.175,113.31666666666666,114.90833333333336,117.23333333333332,119.075,121.56666666666666,125.09166666666664,128.10833333333332,129.375,131.92499999999998,132.76666666666668,cny,Yuan,Chine (la),CN,CHN,156.0
Denmark,13.6,14.4,15.358333333333334,16.783333333333335,19.33333333333333,21.183333333333334,23.1,25.616666666666664,28.241666666666664,30.95,34.775,38.85833333333333,42.79166666666666,45.73333333333333,48.65,50.89166666666667,52.79166666666666,54.88333333333333,57.4,60.125,61.71666666666667,63.18333333333334,64.51666666666667,65.33333333333333,66.625,68.0,69.46666666666667,70.99166666666666,72.29166666666667,74.10833333333333,76.23333333333333,78.02499999999999,79.91666666666667,81.575,82.51666666666667,84.01666666666667,85.63333333333333,87.08333333333333,90.05833333333334,91.23333333333332,93.34166666666664,95.91666666666669,98.21666666666664,98.99166666666667,99.55,100.0,100.25,101.4,102.225,103.0,103.43333333333334,105.35,113.45833333333331,117.06666666666666,dkk,Krone,Danemark (le),DK,DNK,208.0
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,egp,Pound,Égypte (l'),EG,EGY,818.0
Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hkd,Dollar,Hong Kong,HK,HKG,344.0
Hungary,56.95738636363637,56.95738636363637,56.95738636363637,56.95738636363637,56.95738636363637,56.95738636363637,56.95738636363637,56.95738636363637,56.95738636363637,56.95738636363637,3.0,3.125,3.341666666666667,3.591666666666667,3.883333333333333,4.166666666666667,4.391666666666667,4.758333333333334,5.508333333333333,6.458333333333333,8.291666666666666,11.175,13.808333333333332,16.925,20.10833333333333,25.791666666666668,31.85,37.69166666666667,43.025,47.325,51.975,56.69166666666666,59.69166666666666,62.46666666666667,66.68333333333334,69.06666666666666,71.76666666666667,77.49166666666666,82.15833333333333,85.63333333333333,89.77499999999999,93.325,98.58333333333331,100.28333333333336,100.06666666666666,100.00833333333333,100.4,102.75,105.675,109.20833333333331,112.83333333333331,118.60833333333332,135.93333333333334,156.83333333333334,huf,Forint,Hongrie (la),HU,HUN,348.0
Iceland,0.1,0.2416666666666666,0.6,1.9416666666666669,7.358333333333333,16.349999999999998,29.175,37.65833333333333,40.50833333333333,43.00833333333333,49.28333333333333,54.9,65.45833333333333,84.54166666666667,95.875,101.71666666666664,109.45,98.1,24.316666666666663,29.33333333333333,33.90833333333333,36.208333333333336,37.625,39.175,39.766666666666666,40.44166666666667,41.333333333333336,42.083333333333336,42.79166666666666,44.175,46.45,49.41666666666666,51.975,53.05833333333334,54.725,56.9,60.71666666666667,63.78333333333333,71.89166666666667,80.5,84.85833333333333,88.25,92.825,96.43333333333334,98.40833333333336,100.00833333333333,101.7,103.5,106.26666666666668,109.45833333333331,112.59166666666664,117.58333333333331,127.35833333333332,134.53333333333333,isk,Krona,Islande (l'),IS,ISL,352.0
India,3.091666666666667,3.1916666666666664,3.391666666666667,3.975,5.1000000000000005,5.4,4.983333333333333,5.425,5.541666666666667,5.883333333333333,6.55,7.408333333333334,7.991666666666667,8.933333333333334,9.7,10.225,11.116666666666667,12.091666666666669,13.25,14.175,15.441666666666668,17.575,19.65833333333333,20.9,23.05,25.416666666666668,27.675,29.65833333333333,33.59166666666667,35.141666666666666,36.55833333333333,37.94166666666667,39.56666666666667,41.083333333333336,42.641666666666666,44.44166666666666,47.01666666666667,50.03333333333333,54.19166666666666,60.09166666666667,67.29166666666667,73.25833333333334,80.075,88.81666666666666,94.45833333333331,100.00833333333333,104.94166666666666,107.55,112.775,121.40833333333336,128.17499999999998,134.44166666666666,142.36666666666667,146.25,inr,Rupee,Inde (l'),IN,IND,356.0
Iraq,113.94117647058825,113.94117647058825,113.94117647058825,113.94117647058825,113.94117647058825,113.94117647058825,113.94117647058825,113.94117647058825,113.94117647058825,113.94117647058825,113.94117647058825,113.94117647058825,113.94117647058825,113.94117647058825,113.94117647058825,113.94117647058825,113.94117647058825,113.94117647058825,113.94117647058825,113.94117647058825,113.94117647058825,113.94117647058825,113.94117647058825,113.94117647058825,113.94117647058825,113.94117647058825,113.94117647058825,113.94117647058825,113.94117647058825,113.94117647058825,113.94117647058825,113.94117647058825,113.94117647058825,113.94117647058825,113.94117647058825,113.94117647058825,113.94117647058825,80.72500000000001,90.95,97.2,100.0,105.78333333333336,112.25,114.35833333333332,116.9,118.51666666666668,119.20833333333331,119.41666666666669,119.85,119.625,120.29166666666669,127.58333333333331,133.94166666666666,140.39999999999998,iqd,Dinar,Iraq (l'),IQ,IRQ,368.0
Israel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333333333333333,0.1,0.225,0.5416666666666666,2.583333333333333,10.525,15.55,18.541666666666668,21.625,25.975,30.45833333333333,36.275,40.6,45.10833333333333,50.61666666666667,55.64166666666667,62.0,67.53333333333333,71.29166666666667,74.95,75.73333333333333,76.60000000000001,81.03333333333333,81.61666666666666,81.3,82.35833333333333,84.06666666666666,84.45,88.26666666666667,91.19166666666666,93.7,96.98333333333332,98.60833333333332,100.15,100.63333333333333,100.0,99.45833333333331,99.7,100.50833333333333,101.35,100.75833333333333,102.25,106.775,109.7,ils,New Shekel,Israël,IL,ISR,376.0
Japan,31.558333333333334,33.55,35.15,39.25833333333333,48.35833333333333,54.05833333333334,59.10833333333333,63.91666666666666,66.63333333333334,69.10000000000001,74.46666666666667,78.15833333333333,80.27499999999999,81.8,83.65833333333333,85.33333333333333,85.84166666666665,85.95,86.50833333333333,88.52499999999999,91.21666666666664,94.24166666666667,95.85,97.03333333333332,97.69166666666666,97.60833333333332,97.74166666666667,99.45,100.10833333333332,99.76666666666668,99.09166666666664,98.33333333333331,97.45,97.2,97.19166666666666,96.91666666666669,97.15833333333336,97.2,98.55833333333334,97.225,96.51666666666668,96.25833333333333,96.21666666666664,96.53333333333336,99.225,100.025,99.9,100.375,101.35,101.81666666666666,101.79166666666669,101.55833333333334,104.09166666666664,106.26666666666668,jpy,Yen,Japon (le),JP,JPN,392.0
Lebanon,242.7327651515152,242.7327651515152,242.7327651515152,242.7327651515152,242.7327651515152,242.7327651515152,242.7327651515152,242.7327651515152,242.7327651515152,242.7327651515152,242.7327651515152,242.7327651515152,242.7327651515152,242.7327651515152,242.7327651515152,242.7327651515152,242.7327651515152,242.7327651515152,242.7327651515152,242.7327651515152,242.7327651515152,242.7327651515152,242.7327651515152,242.7327651515152,242.7327651515152,242.7327651515152,242.7327651515152,242.7327651515152,242.7327651515152,242.7327651515152,242.7327651515152,242.7327651515152,242.7327651515152,242.7327651515152,242.7327651515152,242.7327651515152,242.7327651515152,90.5,95.03333333333336,96.175,100.0,104.96666666666664,111.88333333333333,117.275,119.45,114.96666666666664,114.06666666666666,119.01666666666668,126.23333333333332,130.04166666666666,240.36666666666667,612.3583333333333,1591.390909090909,242.7327651515152,lbp,Pound,Liban (le),LB,LBN,422.0
Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666666666,0.1,0.1,0.1333333333333333,0.2666666666666666,0.45,0.7083333333333334,1.3166666666666669,3.033333333333333,6.466666666666666,7.766666666666667,9.841666666666669,12.091666666666669,13.95,15.3,16.383333333333333,22.10833333333333,29.675,35.825,41.53333333333333,48.43333333333334,53.025,56.39166666666667,59.23333333333333,61.925,64.825,67.39999999999999,69.84166666666667,72.625,76.35833333333333,80.39999999999999,83.74166666666666,86.59166666666665,90.15833333333336,93.58333333333331,97.35833333333332,100.0,102.825,109.03333333333336,114.35833333333332,118.53333333333336,122.55833333333334,129.51666666666668,139.75,145.96666666666667,mxn,Peso,Mexique (le),MX,MEX,484.0
Morocco,12.433333333333332,12.958333333333334,13.441666666666668,14.0,16.45,17.766666666666666,19.26666666666667,21.71666666666667,23.8,25.791666666666668,28.21666666666667,31.75,35.075,37.25833333333333,41.891666666666666,45.13333333333333,49.075,50.4,51.583333333333336,53.26666666666667,56.9,61.425,64.95833333333333,68.33333333333333,71.83333333333333,76.24166666666666,78.5,79.33333333333333,81.51666666666667,82.06666666666666,83.625,84.14166666666667,86.5,87.51666666666667,88.80833333333334,89.68333333333334,92.64166666666668,94.53333333333336,98.04166666666669,99.03333333333336,100.0,100.90833333333336,102.2,104.13333333333333,104.58333333333331,106.21666666666664,107.95,108.775,110.73333333333332,111.075,111.85833333333332,113.425,120.98333333333332,68.48584905660377,mad,Dirham,Maroc (le),MA,MAR,504.0
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nzd,Dollar,Nouvelle-Zélande (la),NZ,NZL,554.0
Norway,12.858333333333334,13.666666666666666,14.666666666666666,15.75,17.224999999999998,19.216666666666665,21.0,22.891666666666666,24.775,25.891666666666666,28.70833333333333,32.625,36.325,39.4,41.85,44.24166666666667,47.41666666666666,51.55,54.99166666666667,57.49166666666667,59.86666666666667,61.925,63.36666666666667,64.81666666666666,65.70833333333333,67.325,68.175,69.925,71.5,73.19166666666666,75.45,77.71666666666667,78.71666666666667,80.675,81.04166666666667,82.28333333333333,84.2,84.8,87.98333333333333,89.91666666666667,92.09166666666664,93.275,93.925,95.91666666666669,97.875,100.0,103.55,105.49166666666667,108.40833333333336,110.75833333333333,112.18333333333334,116.09166666666664,122.78333333333336,126.76666666666664,nok,Kroner,Norvège (la),NO,NOR,578.0
Qatar,103.32407407407408,103.32407407407408,103.32407407407408,103.32407407407408,103.32407407407408,103.32407407407408,103.32407407407408,103.32407407407408,103.32407407407408,103.32407407407408,103.32407407407408,103.32407407407408,103.32407407407408,103.32407407407408,103.32407407407408,103.32407407407408,103.32407407407408,103.32407407407408,103.32407407407408,103.32407407407408,103.32407407407408,103.32407407407408,103.32407407407408,103.32407407407408,103.32407407407408,103.32407407407408,103.32407407407408,103.32407407407408,103.32407407407408,103.32407407407408,103.32407407407408,103.32407407407408,61.1,62.775000000000006,66.3,103.32407407407408,103.32407407407408,103.32407407407408,103.32407407407408,101.58333333333331,100.00833333333333,101.14166666666668,103.48333333333332,106.825,110.38333333333333,112.38333333333333,115.4,115.86666666666667,116.14166666666668,115.375,112.43333333333334,115.05,120.78333333333336,122.8,qar,Rial,Qatar (le),QA,QAT,634.0
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rub,Ruble,,RU,,
Saudi Arabia,88.9043044077135,88.9043044077135,88.9043044077135,88.9043044077135,88.9043044077135,88.9043044077135,88.9043044077135,88.9043044077135,88.9043044077135,88.9043044077135,70.87272727272727,72.825,73.60000000000001,73.725,72.55,70.34166666666667,68.11666666666666,67.02499999999999,67.64166666666667,68.28333333333333,69.71666666666665,73.175,73.10000000000001,73.88333333333334,74.3,77.89166666666667,78.875,78.91666666666667,78.60833333333333,77.55833333333334,76.69166666666666,75.83333333333333,76.01666666666667,76.46666666666667,76.86666666666666,77.24166666666666,78.95833333333333,82.24166666666666,90.375,94.93333333333334,99.99166666666667,105.84166666666664,108.86666666666667,112.7,115.24166666666667,116.6,119.03333333333336,118.03333333333336,120.93333333333334,118.4,122.48333333333332,126.23333333333332,129.33333333333334,131.46666666666667,sar,Riyal,Arabie saoudite (l'),SA,SAU,682.0
Singapore,30.71666666666667,31.266666666666666,31.916666666666668,38.18333333333333,46.725,47.9,47.025,48.50833333333333,50.88333333333333,52.95,57.458333333333336,62.15833333333333,64.60000000000001,65.38333333333334,67.075,67.39166666666667,66.46666666666667,66.8,67.83333333333333,69.425,71.83333333333333,74.29166666666667,75.96666666666667,77.7,80.10833333333333,81.48333333333333,82.625,84.26666666666667,84.04166666666667,84.06666666666666,85.20833333333333,86.05,85.73333333333333,86.14999999999999,87.60000000000001,87.95833333333333,88.80833333333334,90.68333333333334,96.675,97.25,99.99166666666667,105.25833333333333,110.05,112.65833333333336,113.80833333333334,113.24166666666667,112.61666666666667,113.25833333333333,113.76666666666668,114.4,114.19166666666666,116.825,123.975,128.13333333333333,sgd,Dollar,Singapour,SG,SGP,702.0
South Africa,1.775,1.9083333333333328,2.0416666666666665,2.2333333333333334,2.475,2.825,3.1166666666666667,3.458333333333333,3.866666666666666,4.375,4.966666666666667,5.733333333333333,6.566666666666666,7.383333333333333,8.225,9.566666666666666,11.35,13.2,14.891666666666666,17.075,19.516666666666666,22.516666666666666,25.633333333333336,28.141666666666666,30.641666666666666,33.300000000000004,35.75,38.825,41.49166666666667,43.64166666666667,45.975,48.583333333333336,53.2,56.225,55.84166666666667,56.99166666666667,58.84166666666667,62.48333333333333,68.76666666666667,73.74166666666666,76.75,80.60000000000001,85.21666666666667,90.13333333333333,95.65833333333336,100.0,106.575,112.09166666666664,117.16666666666669,121.99166666666667,125.90833333333336,131.70833333333334,140.975,146.23333333333332,zar,Rand,Afrique du Sud (l'),ZA,ZAF,710.0
Sweden,13.216666666666669,14.191666666666668,15.05,16.041666666666668,17.641666666666666,19.375,21.35833333333333,23.8,26.166666666666668,28.075,31.9,35.78333333333333,38.85,42.29166666666666,45.7,49.05833333333334,51.15833333333333,53.29166666666666,56.39166666666667,60.025,66.25,72.50833333333334,74.21666666666667,77.72500000000001,79.425,81.35833333333333,81.79166666666667,82.31666666666666,82.10000000000001,82.5,83.24166666666666,85.23333333333333,87.075,88.74166666666667,89.10000000000001,89.49166666666667,90.70833333333331,92.725,95.90833333333336,95.43333333333334,96.54166666666669,99.39166666666668,100.29166666666669,100.225,100.05,100.0,100.98333333333332,102.79166666666669,104.8,106.66666666666669,107.19166666666666,109.525,118.69166666666666,126.06666666666666,sek,Krona,Suède (la),SE,SWE,752.0
Switzerland,34.00833333333333,36.23333333333333,38.63333333333333,42.025,46.13333333333333,49.21666666666667,50.05833333333334,50.71666666666667,51.25833333333333,53.1,55.25,58.84166666666667,62.14166666666667,63.975,65.85000000000001,68.11666666666666,68.63333333333334,69.60833333333333,70.93333333333334,73.15833333333333,77.125,81.64166666666667,84.94166666666666,87.74166666666667,88.47500000000001,90.06666666666666,90.80833333333334,91.275,91.29166666666669,92.04166666666669,93.45833333333331,94.38333333333333,94.99166666666667,95.60833333333332,96.375,97.48333333333332,98.53333333333336,99.25,101.65,101.16666666666669,101.85833333333332,102.09166666666664,101.4,101.175,101.15,100.00833333333333,99.56666666666666,100.08333333333331,101.025,101.4,100.65,101.25833333333333,104.11666666666667,105.86666666666667,chf,Franc,Suisse (la),CH,CHE,756.0
Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,twd,Dollar,,TW,,
Thailand,12.775,12.841666666666669,13.466666666666669,15.558333333333332,19.325,20.35833333333333,21.2,22.816666666666663,24.616666666666664,27.058333333333334,32.375,36.49166666666667,38.4,39.825,40.18333333333333,41.15833333333333,41.925,42.975,44.6,46.99166666666667,49.74166666666667,52.59166666666667,54.76666666666667,56.575,59.458333333333336,62.91666666666666,66.55,70.29166666666667,75.91666666666667,76.13333333333334,77.35000000000001,78.6,79.15833333333333,80.58333333333333,82.81666666666668,86.575,90.59166666666664,92.61666666666667,97.69166666666666,96.84166666666664,99.99166666666667,103.79166666666669,106.93333333333334,109.26666666666668,111.35,110.35,110.55,111.3,112.46666666666664,113.26666666666668,112.30833333333334,113.69166666666666,120.60833333333332,122.33333333333331,thb,Baht,Thaïlande (la),TH,THA,764.0
Tunisia,95.41734234234234,95.41734234234234,95.41734234234234,95.41734234234234,95.41734234234234,95.41734234234234,95.41734234234234,95.41734234234234,95.41734234234234,95.41734234234234,95.41734234234234,95.41734234234234,95.41734234234234,95.41734234234234,95.41734234234234,95.41734234234234,95.41734234234234,39.4,41.50833333333333,44.725,47.65,51.55833333333334,54.55,56.73333333333333,59.40833333333333,63.11666666666667,65.46666666666667,67.875,69.96666666666667,71.85833333333333,73.99166666666666,75.45,77.52499999999999,79.60833333333333,82.51666666666667,84.15833333333333,86.88333333333333,89.46666666666665,93.33333333333331,96.76666666666668,100.0,103.225,108.0,113.75,118.99166666666667,124.28333333333336,128.79166666666666,135.63333333333333,145.54999999999998,155.32500000000002,164.09166666666667,173.4333333333333,187.85,198.0,tnd,Dinar,Tunisie (la),TN,TUN,788.0
Turkey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333333333333333,0.1,0.125,0.225,0.4666666666666666,0.8916666666666666,1.625,3.0,5.533333333333334,9.116666666666667,14.1,21.766666666666666,31.558333333333334,38.375,41.66666666666666,45.083333333333336,49.41666666666666,53.725,59.35,63.05,68.46666666666667,72.89166666666667,79.36666666666666,85.33333333333333,92.86666666666667,99.99166666666667,107.775,119.8,139.35833333333332,160.50833333333333,180.2,215.525,371.35833333333335,475.1666666666667,try,New Lira,,TR,,
United Arab Emirates,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,86.90000000000002,97.6,99.14166666666668,99.98333333333332,100.86666666666667,101.54166666666669,102.66666666666669,105.075,109.34166666666664,111.10833333333332,113.29166666666669,116.79166666666669,114.50833333333333,112.13333333333333,111.7125,118.43333333333334,106.31848958333332,aed,Dirham,,AE,,
United Kingdom,8.408333333333333,9.2,9.858333333333333,10.758333333333333,12.491666666666667,15.516666666666666,18.08333333333333,20.95,22.666666666666668,25.725,30.33333333333333,33.93333333333333,36.88333333333333,38.56666666666667,40.48333333333333,42.925,44.41666666666666,46.25833333333333,48.175,50.95,55.05833333333334,59.16666666666666,61.88333333333333,63.46666666666667,64.875,66.625,68.52499999999999,70.03333333333333,71.30833333333334,72.55833333333334,73.41666666666667,74.54166666666667,75.675,76.71666666666667,77.78333333333333,79.40833333333333,81.35833333333333,83.3,86.23333333333333,87.925,90.11666666666667,93.59166666666664,96.0,98.2,99.625,99.99166666666667,101.0,103.58333333333331,105.95833333333331,107.8,108.86666666666667,111.60833333333332,120.45,125.86666666666667,gbp,Pound,,GB,,
United States,16.375,17.083333333333332,17.641666666666666,18.73333333333333,20.808333333333334,22.7,24.016666666666666,25.558333333333334,27.516666666666666,30.616666666666664,34.766666666666666,38.35,40.7,42.025,43.825,45.39166666666667,46.23333333333333,47.93333333333334,49.89166666666667,52.3,55.13333333333333,57.46666666666667,59.208333333333336,60.95,62.54166666666666,64.28333333333333,66.175,67.70833333333333,68.78333333333333,70.26666666666667,72.65,74.70833333333333,75.89166666666667,77.61666666666666,79.69166666666666,82.39999999999999,85.04166666666667,87.48333333333333,90.83333333333331,90.51666666666668,92.00833333333333,94.89166666666668,96.875,98.29166666666669,99.89166666666668,99.98333333333332,101.26666666666668,103.43333333333334,105.94166666666666,107.85833333333332,109.2,114.33333333333331,123.46666666666664,126.8,usd,Dollar,,US,,
